FID	IID	Sex
S28744	S28744	1
S28974	S28974	1
S28900	S28900	1
S28927	S28927	1
S28879	S28879	1
S28753	S28753	2
S28741	S28741	2
S29014	S29014	1
S28738	S28738	2
S29044	S29044	2
S29050	S29050	1
S28726	S28726	2
S28728	S28728	2
S29085	S29085	2
S29093	S29093	2
S29012	S29012	1
S29319	S29319	2
S29152	S29152	1
S29161	S29161	2
S29191	S29191	2
S29205	S29205	2
S29210	S29210	2
S29233	S29233	2
S28767	S28767	1
S28811	S28811	1
S28904	S28904	1
S29001	S29001	2
S29087	S29087	1
S29071	S29071	2
S28924	S28924	2
S29127	S29127	2
S29168	S29168	1
S29180	S29180	1
S29160	S29160	1
S29196	S29196	2
S29200	S29200	2
S29222	S29222	2
S29194	S29194	1
S29213	S29213	2
S29223	S29223	2
S28856	S28856	1
S28765	S28765	1
S28827	S28827	1
S29058	S29058	1
S29036	S29036	1
S29086	S29086	2
S28795	S28795	1
S29081	S29081	2
S29013	S29013	1
S29072	S29072	2
S29056	S29056	2
S29046	S29046	2
S28926	S28926	2
S29114	S29114	1
S29129	S29129	1
S29176	S29176	1
S29102	S29102	1
S29163	S29163	1
S29158	S29158	1
S29155	S29155	1
S29164	S29164	2
S29175	S29175	1
S29147	S29147	1
S29151	S29151	1
S29178	S29178	1
S29198	S29198	2
S29207	S29207	1
S29030	S29030	2
S29219	S29219	1
S29189	S29189	2
S28969	S28969	1
S29015	S29015	1
S28898	S28898	1
S29020	S29020	1
S29061	S29061	2
S29047	S29047	2
S28837	S28837	1
S29125	S29125	2
S29183	S29183	1
S29140	S29140	2
S29182	S29182	1
S29192	S29192	2
S29237	S29237	2
S29209	S29209	1
S29215	S29215	2
S29190	S29190	2
S29023	S29023	2
S29068	S29068	1
S29067	S29067	2
S29057	S29057	2
S29092	S29092	2
S29115	S29115	2
S29123	S29123	2
S29112	S29112	1
S29139	S29139	1
S29172	S29172	1
S29170	S29170	2
S29121	S29121	1
S29232	S29232	2
S29225	S29225	2
S29202	S29202	2
S29227	S29227	2
S29024	S29024	2
S29010	S29010	1
S29094	S29094	2
S29063	S29063	2
S29124	S29124	1
S29195	S29195	2
S29138	S29138	1
S29199	S29199	2
S29226	S29226	2
S29054	S29054	2
S29021	S29021	1
S29040	S29040	2
S29083	S29083	2
S29077	S29077	1
S29074	S29074	2
S29364	S29364	1
S29137	S29137	1
S29107	S29107	1
S29166	S29166	2
S29126	S29126	1
S29136	S29136	1
S29145	S29145	2
S29221	S29221	2
S29217	S29217	1
S29216	S29216	1
S29224	S29224	2
S29229	S29229	2
S28721	S28721	2
S29069	S29069	2
S29143	S29143	1
S29231	S29231	2
S29017	S29017	1
S29016	S29016	2
S29019	S29019	1
S29157	S29157	1
S29128	S29128	2
S29103	S29103	2
S29185	S29185	2
S29055	S29055	2
S29089	S29089	1
S29117	S29117	2
S29186	S29186	1
S29118	S29118	1
S29159	S29159	1
S29042	S29042	2
S29236	S29236	2
S29167	S29167	1
S29878	S29878	1
S28858	S28858	1
S29018	S29018	1
S28884	S28884	1
S28810	S28810	1
S28984	S28984	1
S29009	S29009	1
S29059	S29059	2
S29073	S29073	2
S29133	S29133	1
S29097	S29097	1
S29187	S29187	1
S29162	S29162	1
S29463	S29463	1
S29629	S29629	1
S29695	S29695	1
S29329	S29329	2
S29132	S29132	2
S29156	S29156	1
S29142	S29142	1
S30006	S30006	1
S28966	S28966	1
S28967	S28967	1
